year,filterOrgCategory,filterRegion,filterAffiliation,filterIOType,nameEN,nameFR,addressOSM,addressInfoboxDisplay,locationBuilding,city,country,representativeName,representativeGender,event,note1,note2,source1,source2,photos
1991,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Mlle Kongit Sinegiorgis,,,,,B1991_june,,
1992,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,vacant,,,,,B1992_april,,
1993,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Yousuff Ibrahim Omar,,representativeChange,,,B1993_april,,
1994,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Yousuff Ibrahim Omar,,,,,no,,
1995,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Yousuff Ibrahim Omar,,,,,1995_april,,
1996,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Fisseha Yimer Aboye,,representativeChange,,,no,,
1997,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Fisseha Yimer Aboye,,,,,no,,
1998,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Fisseha Yimer Aboye,,,,,no,,
1999,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Fisseha Yimer Aboye,,,,,no,,
2000,Permanent Representation,Eastern Africa,,,Ethiopia,Éthiopie,"56, Rue de Moillebeau",,,Genève,Switzerland,Fisseha Yimer Aboye,,,,,B2000_april,,
1977,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,"Permanent CEE Delegation, PM Denmark",,1977_dec,,
1978,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis-Dunant",,Genève,Switzerland,,,addressChange,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,B1978_jan,,
1979,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis-Dunant",,Genève,Switzerland,,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,1979_jan,,
1980,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1981,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1982,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1983,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1984,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1985,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,B1985_jan,,
1986,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1987,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1988,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1989,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1990,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,B1990_mar,,
1991,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1992,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,B1992_april,,
1993,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,no,,
1994,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,nameChange,Permanent CEE Delegation,,B1994_april,,
1995,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,Permanent CEE Delegation,,B1995_april,,
1996,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,,,no,,
1997,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,,,no,,
1998,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,,,no,,
1999,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,,,no,,
2000,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"37-39, Rue de Vermont",,,Genève,Switzerland,,,,,,B2000_april,,
1980,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1981,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1982,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1983,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1984,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1985,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,B1985_jan,,
1986,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1987,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1988,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1989,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1990,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,B1990_mar,,
1991,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1992,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,B1992_april,,
1993,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1994,Permanent Representation,Cross-regional Members,,,European Economic Community,Communauté économique européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,no,,
1995,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,nameChange,Bureau de liaison du Secrétaire général du Conseil des Communautés européennes,,B1995_april,,
1996,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Klaus Dietrich Jagstaidt,,,Bureau de liaison du Conseil de l'Union Européenne,,no,,
1997,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Jacques Brodin,,,Bureau de liaison du Conseil de l'Union Européenne,,no,,
1998,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Jacques Brodin,,,Bureau de liaison du Conseil de l'Union Européenne,,no,,
1999,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Jacques Brodin,,,Bureau de liaison du Conseil de l'Union Européenne,,no,,
2000,Permanent Representation,Cross-regional Members,,,European Union,Union Européenne,"2, Chemin Camille-Vidart","2, Chemin Louis Dunant",,Genève,Switzerland,Jacques Brodin,,,Bureau de liaison du Conseil de l'Union Européenne,,B2000_april,,
1922,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue De-Candolle",,,Genève,Switzerland,Charles Enckell/ Urho Toivola,,established,Toivola is representative of Finland. The Permanent Delegate is Charles Enckell. Secretary of Legation - Appointed Director of the Finnish Secretariat at the League of Nations,Secrétariat finlandais auprès de la Société des Nations,https://archives.ungeneva.org/communications-entre-le-secretariat-et-le-gouvernement-finlandais/download,,
1923,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue De-Candolle",,,Genève,Switzerland,Charles Enckell/ Urho Toivola,,,,,https://archives.ungeneva.org/office-circular-communication-with-members-of-the-league-of-nations/download?token=5bb1e966871bd4d5ca97031f32af77dae5451ae6e0541de61d93dfff210d7827,,
1924,Permanent Representation,Northern Europe,,,Finland,Finlande,"2, Rue des Vollandes","2, Avenue des Vollandes",,Genève,Switzerland,Charles Enckell/ Urho Toivola,,addressChange,,,https://archives.ungeneva.org/communications-entre-le-secretariat-et-le-gouvernement-finlandais/download,https://archives.ungeneva.org/relations-entre-le-secretariat-et-les-representants-a-geneve-des-etats-membres-secretaire-general-rapporte-une-interview-avec-ces-representants-durant-laquelle-a-ete-discutee-la-methode-la-plus-efficace-pour-intensifier-les-relations-e/download?token=d0b5a1596ee1bdee5ae2ae8e1a9eb0e2a1d8180d129080372292c14a30389c03,
1925,Permanent Representation,Northern Europe,,,Finland,Finlande,"7, Place Claparède",,,Genève,Switzerland,Charles Enckell / Hugo Valvanne,,addressChange,Succeeds to Toivola (Feb.) + new address (May),,https://archives.ungeneva.org/communications-entre-le-secretariat-et-le-gouvernement-finlandais/download,,
1925,Permanent Representation,Northern Europe,,,Finland,Finlande,"7, Place Claparède",,,Genève,Switzerland,Charles Enckell / Hugo Valvanne,,representativeChange,Succeeds to Toivola (Feb.) + new address (May),,https://archives.ungeneva.org/communications-entre-le-secretariat-et-le-gouvernement-finlandais/download,,
1926,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rafael Erich / Hugo Valvanne,,addressChange,"In March the address of the PM moves to Bern. Moves to the new address in May 1926. The ""Finnish Secretariat"" Becomes officially a Permanent Delegation; Valvanne assisted the PR until 1929. Rafael Erich Appointed as PR (in Bern) - succeeds to Charles Enckell",,https://archives.ungeneva.org/communications-entre-le-secretariat-et-le-gouvernement-finlandais/download,,
1926,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rafael Erich / Hugo Valvanne,,representativeChange,,,https://archives.ungeneva.org/communications-entre-le-secretariat-et-le-gouvernement-finlandais/download,,
1927,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rafael Erich / Hugo Valvanne,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-finlandais,,
1928,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,representativeChange,"Rudolf Holsti Appointed PR, succeeds to Rafael Erich. Officilally in function in January 1928.",,https://archives.ungeneva.org/alcoholism-correspondence-respecting-finland,,
1929,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/alcoholism-correspondence-respecting-finland,,
1930,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,no,,
1931,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,no,,
1932,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/session-extraordinaire-de-lassemblee-1932-representation-de-la-finlande/download?token=5ff966d570690ff8b4abb9694374c28796a3a7bdbbc61fc4ad38dea500ee3a5f,,
1933,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,no,,
1934,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,no,,
1935,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-finlandais,,
1936,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,no,,
1937,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-finlandais,,
1938,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-finlandais,,
1938,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-finlandais,,
1939,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/communication-with-national-governments-revision-of-list-of-permanent-representatives-1940/download?token=80e26f06b7cf4e443bcf4fff9290fbba58c71de9e526d675c08142974983310c,,
1940,Permanent Representation,Northern Europe,,,Finland,Finlande,"14, Rue Charles-Bonnet",,,Genève,Switzerland,Rudolf Holsti,,,,,https://archives.ungeneva.org/restoration-of-finland-correspondence-with-the-government-of-finland/download?token=f97769b7868f2d11859e6e1a6934fb432cfa27b4f7d2654791ca1e2049e790b5,,
1950,Permanent Representation,Northern Europe,,,Finland,Finlande,"8, Avenue Pictet-de-Rochemont",,,Genève,Switzerland,Leo Tuominen,,addressChange,The Consul is Appointed PR in Geneva since 1 November 1950,Permanent Mission. Non-member states,,,
1951,Permanent Representation,Northern Europe,,,Finland,Finlande,"3, Rue de Contamines",,,Genève,Switzerland,Leo Tuominen,,addressChange,"Is the official address 8, ave Pictet de Rochemont?",Permanent Mission. Non-member states,UN Archives,,
1952,Permanent Representation,Northern Europe,,,Finland,Finlande,"3, Rue de Contamines",,,Genève,Switzerland,Leo Tuominen,,,"Is the official address 8, ave Pictet de Rochemont?",Permanent Mission. Non-member states,UN Archives,,
1953,Permanent Representation,Northern Europe,,,Finland,Finlande,"102, Rue de Lausanne",,,Genève,Switzerland,Olli J. Vallila,,addressChange,,Permanent Mission. Non-member states,UN Archives,,
1953,Permanent Representation,Northern Europe,,,Finland,Finlande,"102, Rue de Lausanne",,,Genève,Switzerland,Olli J. Vallila,,representativeChange,,Permanent Mission. Non-member states,UN Archives,,
1954,Permanent Representation,Northern Europe,,,Finland,Finlande,"102, Rue de Lausanne",,,Genève,Switzerland,Olli J. Vallila,,,"Moves to 5, Chemin de Malombré in November 1954.",Permanent Mission. Non-member states,UN Archives,,
1955,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Paavo Pulkkinen,,addressChange,Non-member states,,B1955,,
1955,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Paavo Pulkkinen,,representativeChange,Non-member states,,B1955,,
1956,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Torsten Tikanvaara,,representativeChange,,,B1956_jun,,
1957,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Torsten Tikanvaara,,,,,B1957_June_Dec,,
1958,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Torsten Tikanvaara,,,,,B1958_June_Dec,,
1959,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Torsten Tikanvaara,,,Kaarlo Veikko Makela Appointed,,B1959_June_Dec,,
1960,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Kaarlo Veikko Makela,,representativeChange,,,B1960_June_Dec,,
1961,Permanent Representation,Northern Europe,,,Finland,Finlande,"5, Chemin Malombré",,,Genève,Switzerland,Kaarlo Veikko Makela,,,"Moves to 11, avenue de Budé + Olli Benjamin Kaila Appointed in June",,,,
1962,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Olli Benjamin Kaila,,addressChange,Reino Honkaranta Appointed in June,,B1962_Jun_Dec,,
1962,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Olli Benjamin Kaila,,representativeChange,Reino Honkaranta Appointed in June,,B1962_Jun_Dec,,
1963,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Reino Honkaranta,,representativeChange,,,B1963_Jun_Dec,,
1964,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Reino Honkaranta,,,,,B1964_Jun_Dec,,
1965,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Pentti Talvitie,,representativeChange,Appointed February,,B1965_Jun_Dec,,
1966,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Pentti Talvitie,,,,,B1966_Jun_Dec,,
1967,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Pentti Talvitie,,,,,B1967_June_Dec,,
1968,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Pentti Talvitie,,,,,B1968_June_Dec,,
1969,Permanent Representation,Northern Europe,,,Finland,Finlande,"11, Avenue De-Budé",,,Genève,Switzerland,Pentti Talvitie,,,,,B1969_Oct_Jan1970_(Dec missing),,
1970,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Klaus A. Sahlgren,,addressChange,Appointed June; Moved after July,,B1970_July_1971_Jan_1972_Apr,,
1970,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Klaus A. Sahlgren,,representativeChange,Appointed June; Moved after July,,B1970_July_1971_Jan_1972_Apr,,
1971,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Klaus A. Sahlgren,,,,,B1970_July_1971_Jan_1972_Apr,,
1972,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Klaus A. Sahlgren,,,,,B1972_April_1972_Oct_1973_July_1974_jan/july,,
1973,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Klaus A. Sahlgren,,,,,B1972_April_1972_Oct_1973_July_1974_jan/july,,
1974,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Klaus A. Sahlgren,,,,,B1972_April_1972_Oct_1973_July_1974_jan/july,,
1975,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Kaarlehto,,representativeChange,Appointed December,,,,
1976,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Kaarlehto,,,,,,,
1977,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Kaarlehto,,,,,,,
1978,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Kaarlehto,,,,,,,
1979,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Kaarlehto,,,,,B1979_jun,,
1980,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Kaarlehto,,,,,B1980_jan,,
1981,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Ilmari Rantanen,,representativeChange,Appointed October,,no,,
1982,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Ilmari Rantanen,,,,,no,,
1983,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Ilmari Rantanen,,,,,no,,
1984,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Ilmari Rantanen,,,,,no,,
1985,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Paavo Ilmari Rantanen,,,,,B1985_jan,,
1986,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Olli Adolf Mennander,,representativeChange,Appointed March,,no,,
1987,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Olli Adolf Mennander,,,,,no,,
1988,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Olli Adolf Mennander,,,,,no,,
1989,Permanent Representation,Northern Europe,,,Finland,Finlande,"149A, Route de Ferney",,,Genève,Switzerland,Antti Hynninen,,representativeChange,Appointed November,,B19989_jan,,
1990,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Antti Hynninen,,addressChange,,,B1990_mar,,
1991,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Antti Hynninen,,,,,no,,
1992,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Antti Hynninen,,,,,no,,
1993,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Antti Hynninen,,,,,no,,
1994,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Antti Hynninen,,,,,B1994_april,,
1995,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Bjorn Ekblom,,representativeChange,Appointed March,,no,,
1996,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Bjorn Ekblom,,,,,no,,
1997,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Bjorn Ekblom,,,,,B1997_april,,
1998,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Pekka Huhtaniemi,,representativeChange,Appointed June,,no,,
1999,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Pekka Huhtaniemi,,,,,no,,
2000,Permanent Representation,Northern Europe,,,Finland,Finlande,"1, Rue du Pré-de-la-Bichette",,,Genève,Switzerland,Pekka Huhtaniemi,,,,,B2000_april,,
1994,Permanent Representation,Southern Europe,,,Former Yugoslav Republic of Macedonia (FYROM),Ex-République Yougoslave de Macédoine,"143, Rue de Lausanne",,,Genève,Switzerland,Goce Petreski,,,Appointed June,,no,,
1995,Permanent Representation,Southern Europe,,,Former Yugoslav Republic of Macedonia (FYROM),Ex-République Yougoslave de Macédoine,"143, Rue de Lausanne",,,Genève,Switzerland,Goce Petreski,,,,,B1995_april,,
1996,Permanent Representation,Southern Europe,,,Former Yugoslav Republic of Macedonia (FYROM),Ex-République Yougoslave de Macédoine,"143, Rue de Lausanne",,,Genève,Switzerland,Goce Petreski,,,,,no,,
1997,Permanent Representation,Southern Europe,,,Former Yugoslav Republic of Macedonia (FYROM),Ex-République Yougoslave de Macédoine,"143, Rue de Lausanne",,,Genève,Switzerland,Goce Petreski,,,,,no,,
